Run,Fitness,Solution
1,2.665894508,00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000
1,2.60159564,00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000
1,2.563639641,00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000000000000
1,1.528242111,00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111
1,0.937536478,00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111
1,-0.001404817,00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111
2,2.725744963,00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000
2,2.706911325,00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000
2,2.210433006,00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000
2,2.165598154,00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111
