Run,Fitness,Blocks
1,2.665894508,32831 32832 32832 32832 32832 32831 32832 16448 16448 32832 32831 32832 16448 16448 32832 32831 32832 16448 16448 32832 32831 32831 32832 32832 32832
1,2.60159564,32832 16448 16448 16448 16448 0 16448 16448 16448 16448 0 0 16448 16448 16448 0 0 0 16448 16448 0 0 0 0 16448
1,2.563639641,0 16448 16448 16448 0 0 16448 16448 16448 0 0 16448 16448 16448 16448 0 16448 16448 16448 0 0 16448 16448 16448 0
1,1.528242111,32832 32832 16448 16448 32831 32832 16448 16448 16448 32831 32832 16448 16448 16448 32831 32832 16448 16448 16448 32831 32832 32832 16448 16448 32831
1,0.937536478,32832 16448 16448 16448 16448 32832 16448 16448 16448 16448 32831 16448 16448 16448 16448 32831 32831 16448 16448 16448 32831 32831 32831 32831 32831
1,-0.001404817,32832 16448 32831 32831 32831 64 64 32831 32831 32831 64 64 32831 32831 32831 64 64 32831 32831 32831 32832 64 32831 32831 32831
2,2.725744963,32831 32831 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 16448 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832
2,2.706911325,32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 16448 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832
2,2.210433006,64 64 32832 32832 32832 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
2,2.165598154,16448 32832 32832 32832 32832 16448 16448 32831 32831 32831 16448 32831 32831 32831 32831 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831
2,2.122405529,0 16448 16448 16448 16448 0 0 16448 16448 16448 0 0 16448 0 0 0 0 0 0 0 0 0 0 0 0
2,0.757889152,32831 32831 32831 32831 32831 32831 32831 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831 32831 32831 32831
3,2.713920593,32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 16448 32832 32832 32831 32832 32832 32832 32832 32831 32831 32832 32832 32832
3,2.702661514,32831 32831 32831 32831 32831 32831 32831 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832
3,2.576647758,0 0 0 0 0 0 16448 16448 16448 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 0 16448 16448 16448 0
3,2.251340389,32831 16448 32832 16448 16448 32831 16448 16448 16448 16448 32832 32832 16448 16448 16448 32832 32832 16448 16448 16448 32832 32832 32832 16448 16448
3,2.103913784,32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832
3,1.147992492,32831 32831 32831 32831 32831 32831 32831 32832 32832 32831 32831 32831 16448 32832 32831 32831 32831 32832 32832 32831 32831 32831 32831 32831 32831
4,2.706587315,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
4,2.687462807,32831 32831 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32831 32831 32832 32831
4,2.686772823,32831 32831 32832 32832 32831 32831 32831 32832 32832 32832 32831 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32831 32832 32832 32831
4,2.662372351,0 32832 32832 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448
4,2.286458015,32831 32831 32831 32831 32831 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
