 Run	    Fitness	                                                                                                                                                                                                Solution
   1	        267	0032189c003219000032190000321900003219000032189c003219000019190000191900003219000032189c003219000019190000191900003219000032189c003219000019190000191900003219000032189c0032189c003219000032190000321900
   1	        260	00321900001919000019190000191900001919000000000000191900001919000019190000191900000000000000000000191900001919000019190000000000000000000000000000191900001919000000000000000000000000000000000000191900
   1	        256	00000000001919000019190000191900000000000000000000191900001919000019190000000000000000000019190000191900001919000019190000000000001919000019190000191900000000000000000000191900001919000019190000000000
   1	        153	003219000032190000191900001919000032189c003219000019190000191900001919000032189c003219000019190000191900001919000032189c003219000019190000191900001919000032189c003219000032190000191900001919000032189c
   1	         94	003219000019190000191900001919000019190000321900001919000019190000191900001919000032189c001919000019190000191900001919000032189c0032189c0019190000191900001919000032189c0032189c0032189c0032189c0032189c
   1	          0	00321900001919000032189c0032189c0032189c00001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c00321900000019000032189c0032189c0032189c
   2	        273	0032189c0032189c0032190000321900003219000032189c003219000032190000321900003219000032189c003219000019190000321900003219000032189c003219000032190000321900003219000032189c00321900003219000032190000321900
   2	        271	0032189c003219000032190000321900003219000032189c003219000032190000321900003219000032189c003219000019190000321900003219000032189c003219000032190000321900003219000032189c00321900003219000032190000321900
   2	        221	00001900000019000032190000321900003219000000190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
   2	        217	001919000032190000321900003219000032190000191900001919000032189c0032189c0032189c001919000032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c
   2	        212	00000000001919000019190000191900001919000000000000000000001919000019190000191900000000000000000000191900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   2	         76	0032189c0032189c0032189c0032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c0032189c0032189c
