 Run	    Fitness	        Solution	    Fitness	   Next_Solution
   1	       1906	fffff8f8000004b0	       1732	fffffc7c0000044b
   1	       1732	fffffc7c0000044b	       1683	fffffd440000044b
   1	       1683	fffffd440000044b	       1407	fffffe0d000002bb
   1	       1407	fffffe0d000002bb	       1360	fffffd450000018f
   1	       1360	fffffd450000018f	       1278	fffffdaa0000018f
   1	       1278	fffffdaa0000018f	       1263	fffffe0d000001f3
   1	       1263	fffffe0d000001f3	        718	0000006300000129
   1	        718	0000006300000129	        357	ffffff9f00000061
   1	        357	ffffff9f00000061	        258	ffffffa100000000
   1	        258	ffffffa100000000	          0	0000000000000000
   1	          0	0000000000000000	          0	0000000000000000
   1	          0	0000000000000000	          0	0000000000000000
   1	          0	0000000000000000	          0	0000000000000000
   1	          0	0000000000000000	          0	0000000000000000
   1	          0	0000000000000000	          0	0000000000000000
   1	          0	0000000000000000	          0	0000000000000000
   2	       1360	fffffd450000018f	        258	00000000ffffffa1
   2	        258	00000000ffffffa1	        258	00000000ffffffa1
   2	        258	00000000ffffffa1	          0	0000000000000000
   2	          0	0000000000000000	          0	0000000000000000
   2	          0	0000000000000000	          0	0000000000000000
   2	          0	0000000000000000	          0	0000000000000000
   2	          0	0000000000000000	          0	0000000000000000
   3	       1988	000009c4fffff5d8	       1980	000008fcfffff704
   3	       1980	000008fcfffff704	       1980	000008fcfffff704
   3	       1980	000008fcfffff704	       1978	00000898fffff704
   3	       1978	00000898fffff704	       1978	00000898fffff704
   3	       1978	00000898fffff704	       1970	00000834fffff7cc
   3	       1970	00000834fffff7cc	       1970	00000834fffff7cc
   3	       1970	00000834fffff7cc	       1967	00000834fffff830
   3	       1967	00000834fffff830	       1960	0000076cfffff830
   3	       1960	0000076cfffff830	       1947	00000640fffff830
   3	       1947	00000640fffff830	       1946	000006a4fffff894
   3	       1946	000006a4fffff894	       1923	0000076cfffffaec
   3	       1923	0000076cfffffaec	       1760	000004affffffc7c
   3	       1760	000004affffffc7c	       1263	000001f3fffffe0d
   3	       1263	000001f3fffffe0d	       1263	000001f3fffffe0d
   3	       1263	000001f3fffffe0d	        656	000000c5000000c5
   3	        656	000000c5000000c5	          0	0000000000000000
   3	          0	0000000000000000	          0	0000000000000000
   3	          0	0000000000000000	          0	0000000000000000
   3	          0	0000000000000000	          0	0000000000000000
   4	       1996	00000bb8fffff380	       1996	00000c1cfffff3e4
