 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   1	        265	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000190000191900	        254	001919000019190000000000000000000032189c0000000000191900000000000032189c00001900003219000032189c0000000000191900000019000000000000321900003219000019190000321900000000000019190000321900000019000032189c
   1	        254	001919000019190000000000000000000032189c0000000000191900000000000032189c00001900003219000032189c0000000000191900000019000000000000321900003219000019190000321900000000000019190000321900000019000032189c	        253	000000000032190000191900003219000032190000001900001919000032189c0019190000000000001919000032189c001919000032189c001919000000000000000000003219000032189c003219000032190000001900000019000000000000000000
   1	        253	000000000032190000191900003219000032190000001900001919000032189c0019190000000000001919000032189c001919000032189c001919000000000000000000003219000032189c003219000032190000001900000019000000000000000000	        252	0032189c00000000000000000032189c0032189c0032189c00191900003219000032189c000000000032189c0019190000321900001919000000000000321900000019000000000000191900003219000000000000001900000000000000000000191900
   1	        252	0032189c00000000000000000032189c0032189c0032189c00191900003219000032189c000000000032189c0019190000321900001919000000000000321900000019000000000000191900003219000000000000001900000000000000000000191900	        208	000000000019190000321900003219000019190000321900003219000032189c0000000000001900000000000019190000191900003219000000190000321900000019000032189c0000190000321900003219000019190000000000000019000032189c
   1	        208	000000000019190000321900003219000019190000321900003219000032189c0000000000001900000000000019190000191900003219000000190000321900000019000032189c0000190000321900003219000019190000000000000019000032189c	         -9	001919000032189c00000000000000000032189c00321900000000000032189c000019000032189c001919000032189c0032190000001900000019000032189c00001900000000000000190000000000000000000000000000001900000019000032189c
   1	         -9	001919000032189c00000000000000000032189c00321900000000000032189c000019000032189c001919000032189c0032190000001900000019000032189c00001900000000000000190000000000000000000000000000001900000019000032189c	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
   2	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        267	0032189c00001900000000000032189c00321900000000000032189c003219000032189c000000000032189c0000000000321900000000000000000000321900000019000032190000191900001919000000000000001900000000000000000000321900
   2	        267	0032189c00001900000000000032189c00321900000000000032189c003219000032189c000000000032189c0000000000321900000000000000000000321900000019000032190000191900001919000000000000001900000000000000000000321900	        265	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000190000191900
   2	        265	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000190000191900	        254	001919000019190000000000000000000032189c0000000000191900000000000032189c00001900003219000032189c0000000000191900000019000000000000321900003219000019190000321900000000000019190000321900000019000032189c
   2	        254	001919000019190000000000000000000032189c0000000000191900000000000032189c00001900003219000032189c0000000000191900000019000000000000321900003219000019190000321900000000000019190000321900000019000032189c	        253	000000000032190000191900003219000032190000001900001919000032189c0019190000000000001919000032189c001919000032189c001919000000000000000000003219000032189c003219000032190000001900000019000000000000000000
   2	        253	000000000032190000191900003219000032190000001900001919000032189c0019190000000000001919000032189c001919000032189c001919000000000000000000003219000032189c003219000032190000001900000019000000000000000000	        252	0032189c00000000000000000032189c0032189c0032189c00191900003219000032189c000000000032189c0019190000321900001919000000000000321900000019000000000000191900003219000000000000001900000000000000000000191900
